ID	seqnames	type	start	end	strand	likelyStrand	Parent	length	ORFnumber	nearest_ref_gene	nearest_ref_ensembl_transcriptID	exonNumber	exonHits	exactAnnotated	partialAnnotated	geneID	gene_type	genelevel	gene_name	ensembl_transcriptID	transcript_type	transcript_support_level	LTR/repClass	LTR/repName	LTR/repeatIDs	repClass	repeatIDs	LTRderived	spansRTErepeat	summaryAnnotation
trans360259f6fc3746c3	chr12	transcript	112937910	112973247	+	+	NA	7159	1	OAS3	ENST00000228928.11	16	2478439;2478448;2478458;2478465;2478468;2478472;2478480;2478496;2478500;2478503;2478515;2478519;2478539;2478549;2478557;2478567	14	16	ENSG00000111331.12	protein_coding	level 2	 OAS3	ENST00000228928.11	protein_coding	1	ERVL-MaLR;ERVL	MLT1N2;ERV3-16A3_I-int	LTR/ERVL-MaLR|MLT1N2|12|112971074|112971446;LTR/ERVL|ERV3-16A3_I-int|12|112972626|112972877	SINE;LTR;LINE	SINE/MIR|MIR|12|112937821|112938006;LTR/ERVL-MaLR|MLT1N2|12|112971074|112971446;LTR/ERVL|ERV3-16A3_I-int|12|112972626|112972877;LINE/L1|L1MB7|12|112972919|112973583	TRUE	TRUE	partial
trans3607be16e4144751	chr20	transcript	7067844	7069694	*	NA	NA	265	NA	RP4-764O22.1	ENST00000425900.1	2	3575570;3575573	0	1	ENSG00000232271.1	lincRNA	level 2	 RP4-764O22.1	ENST00000425900.1	lincRNA	2	ERVL	LTR67B	LTR/ERVL|LTR67B|20|7069555|7069827	LINE;LTR	LINE/L1|L1ME3Cz|20|7067717|7068020;LTR/ERVL|LTR67B|20|7069555|7069827	TRUE	TRUE	partial
trans36bf96e085a67459	chr11	transcript	73946846	73952916	*	NA	NA	203	NA	DNAJB13	ENST00000339764.5	2	2242063;2242083	0	0	NA	NA	NA	 DNAJB13	NA	NA	NA	ERVK	HERVK14-int~LTR14B	LTR/ERVK|HERVK14-int~LTR14B|11|73943577|73947475	LTR;SINE	LTR/ERVK|HERVK14-int~LTR14B|11|73943577|73947475;SINE/MIR|MIRb|11|73952689|73952892	TRUE	TRUE	unannotated
trans36f0c349a5d7c35c	chr7	transcript	126438604	126535843	-	-	NA	1975	1	AC000374.1	ENST00000434698.1	5	1571165;1571169;1571183;1571191;1571192	1	3	ENSG00000179603.17	protein_coding	level 2	 AC000374.1	ENST00000358373.7	protein_coding	1	ERV1;ERVL-MaLR	MER66B;MLT1F	LTR/ERV1|MER66B|7|126535352|126535786;LTR/ERVL-MaLR|MLT1F|7|126535787|126536084	LINE;LTR	LINE/L2|L2a|7|126534838|126534937;LTR/ERV1|MER66B|7|126535352|126535786;LTR/ERVL-MaLR|MLT1F|7|126535787|126536084	TRUE	TRUE	partial
trans370a28867bc7fee5	chr13	transcript	22909979	22910378	*	NA	NA	400	NA	LINC00621	ENST00000577004.1	1	2527141	0	0	NA	NA	NA	 LINC00621	NA	NA	NA	ERV1	MER110-int	LTR/ERV1|MER110-int|13|22910012|22910257	SINE;LTR	SINE/Alu|AluSq2|13|22909707|22910011;LTR/ERV1|MER110-int|13|22910012|22910257;SINE/Alu|AluSx|13|22910258|22910512	TRUE	TRUE	unannotated
trans376e1e8a7cf9da63	chr22	transcript	18989083	18990512	*	NA	NA	1114	NA	DGCR5	ENST00000438934.5	2	3734092;3734104	0	2	ENSG00000237517.8	antisense	level 2	 DGCR5	ENST00000438934.5	antisense	5	ERVL-MaLR	MSTB	LTR/ERVL-MaLR|MSTB|22|18989910|18990114	SINE;LTR;LINE	SINE/Alu|AluJb|22|18988933|18989218;LTR/ERVL-MaLR|MSTB|22|18989910|18990114;LINE/L1|L1MB3|22|18990115|18990614	TRUE	TRUE	partial
trans37f82b537b306a44	chrX	transcript	15514517	15518979	*	NA	NA	4463	NA	BMX	ENST00000357607.6	1	3829451	0	1	NA	NA	NA	 BMX	NA	NA	NA	ERV1	LTR78	LTR/ERV1|LTR78|X|15518389|15519217	LINE;LTR	LINE/L1|L1MC4|X|15514783|15514962;LINE/L1|L1PA8|X|15514963|15515330;LINE/L1|L1MC4|X|15515331|15515686;LTR/ERV1|LTR78|X|15518389|15519217	TRUE	TRUE	partial
trans380c4c464599fea7	chr17	transcript	35438984	35442569	*	NA	NA	620	NA	SLFN13	ENST00000526861.5	2	3143690;3143718	0	1	ENSG00000154760.13	protein_coding	level 2	 SLFN13	ENST00000285013.10	protein_coding	1	ERVL-MaLR	MLT1A	LTR/ERVL-MaLR|MLT1A|17|35438948|35439336	LTR;SINE	LTR/ERVL-MaLR|MLT1A|17|35438948|35439336;SINE/Alu|AluSx|17|35439477|35439776;SINE/Alu|AluY|17|35442447|35442741	TRUE	TRUE	partial
trans38d58413816295d0	chr3	transcript	165511510	165539383	*	NA	NA	461	NA	NA	NA	2	873977;874018	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL-MaLR	MLT1G;MLT1L	LTR/ERVL-MaLR|MLT1G|3|165511394|165511971;LTR/ERVL-MaLR|MLT1L|3|165538964|165539373	LTR	LTR/ERVL-MaLR|MLT1G|3|165511394|165511971;LTR/ERVL-MaLR|MLT1L|3|165538964|165539373	TRUE	TRUE	unannotated
trans39103533dfcc9703	chr12	transcript	120954758	120964841	*	NA	NA	1156	1	HNF1A-AS1	ENST00000619441.1	2	2490237;2490280	0	0	NA	NA	NA	 HNF1A-AS1	NA	NA	NA	ERVL-MaLR	MLT1L	LTR/ERVL-MaLR|MLT1L|12|120955351|120955629	SINE;LTR;LINE	SINE/Alu|AluSg|12|120954511|120954811;SINE/MIR|MIRc|12|120954814|120954892;LTR/ERVL-MaLR|MLT1L|12|120955351|120955629;LINE/L2|L2|12|120955660|120955797;SINE/Alu|AluJb|12|120955799|120956091;SINE/Alu|FLAM_C|12|120964732|120964850	TRUE	TRUE	unannotated
trans3aa4b07acb40af5c	chr22	transcript	37179496	37188898	-	-	NA	2178	1	RP1-151B14.6	ENST00000419128.1	4	3775872;3775878;3775896;3775907	1	3	ENSG00000133466.13	protein_coding	level 2	 RP1-151B14.6	ENST00000337843.6;ENST00000397110.6	protein_coding	1	ERV1	MER41-int~MER41B	LTR/ERV1|MER41-int~MER41B|22|37188838|37189855	SINE;LTR	SINE/Alu|AluSg|22|37179381|37179672;SINE/Alu|AluSx1|22|37181406|37181699;LTR/ERV1|MER41-int~MER41B|22|37188838|37189855	TRUE	TRUE	partial
trans3b15820dbd3be501	chr20	transcript	48372540	48375636	*	NA	NA	3097	2	LINC00494	ENST00000416742.5	1	3636376	0	0	NA	NA	NA	 LINC00494	NA	NA	NA	ERVL-MaLR	MLT1J	LTR/ERVL-MaLR|MLT1J|20|48372188|48372608	LTR;SINE	LTR/ERVL-MaLR|MLT1J|20|48372188|48372608;SINE/MIR|MIRb|20|48373728|48373852	TRUE	TRUE	unannotated
trans3b61721ec7ee0594	chr16	transcript	20460698	20463065	*	NA	NA	2368	NA	ACSM2A	ENST00000575690.5	1	2923400	0	0	NA	NA	NA	 ACSM2A	NA	NA	NA	ERV1	LTR8B	LTR/ERV1|LTR8B|16|20461806|20462460	SINE;LINE;LTR	SINE/Alu|AluJr|16|20460647|20460844;LINE/L1|L1ME4b|16|20461443|20461794;LTR/ERV1|LTR8B|16|20461806|20462460;LINE/L1|L1MC5a|16|20462696|20462949;LINE/L1|L1PA4|16|20462950|20463243	TRUE	TRUE	unannotated
trans3b7aa2c739a4412f	chr10	transcript	6736958	6739516	*	NA	NA	1831	NA	RP11-554I8.2	ENST00000417112.1	2	1953427;1953430	0	2	ENSG00000223784.1	lincRNA	level 1	 RP11-554I8.2	ENST00000417112.1	lincRNA	2	ERVL-MaLR	MLT1H	LTR/ERVL-MaLR|MLT1H|10|6737297|6737713	LTR;SINE	LTR/ERVL-MaLR|MLT1H|10|6737297|6737713;SINE/Alu|AluSq2|10|6739419|6739719	TRUE	TRUE	partial
trans3b7d8adf021b43de	chr4	transcript	5518238	5527796	+	+	NA	657	NA	LINC01587	ENST00000623565.3	4	934431;934435;934438;934443	1	3	ENSG00000082929.8	processed_transcript	level 2	 LINC01587	ENST00000623565.3	lincRNA	1	ERV1	MER31-int~MER34	LTR/ERV1|MER31-int~MER34|4|5525246|5526095	LINE;LTR;SINE	LINE/L1|L1PA4|4|5518181|5524102;LTR/ERV1|MER31-int~MER34|4|5525246|5526095;SINE/MIR|MIRb|4|5527646|5527829	TRUE	TRUE	partial
trans3be36f1c03b11cbd	chr5	transcript	122059573	122078638	-	-	NA	9077	2	LOX	ENST00000231004.4	7	1150435;1150443;1150447;1150453;1150458;1150460;1150461	5	7	ENSG00000113083.12	protein_coding	level 2	 LOX	ENST00000231004.4	protein_coding	1	ERVL-MaLR	MLT1K	LTR/ERVL-MaLR|MLT1K|5|122060441|122060917	LTR	LTR/ERVL-MaLR|MLT1K|5|122060441|122060917	TRUE	TRUE	partial
trans3c24fcb43441dd09	chr5	transcript	84385879	84417605	+	+	NA	687	NA	CTD-2269F5.1	ENST00000502253.1	4	1133022;1133028;1133048;1133060	2	3	ENSG00000250320.5	antisense	level 2	 CTD-2269F5.1	ENST00000502253.1	antisense	2	ERVL-MaLR	MLT1A0	LTR/ERVL-MaLR|MLT1A0|5|84387727|84388103	LTR;LINE;SINE	LTR/ERVL-MaLR|MLT1A0|5|84387727|84388103;LINE/L1|L1ME4a|5|84399282|84399972;LINE/L1|L1PREC2|5|84415563|84417314;SINE/Alu|AluJb|5|84417315|84417607	TRUE	TRUE	partial
trans3c6c9b4680e139a9	chr20	transcript	15980288	15981588	*	NA	NA	1266	NA	MACROD2	ENST00000217246.8	2	3579858;3579862	0	0	NA	NA	NA	 MACROD2	NA	NA	NA	ERV1	Harlequin-int~LTR2B	LTR/ERV1|Harlequin-int~LTR2B|20|15979869|15986246	LTR	LTR/ERV1|Harlequin-int~LTR2B|20|15979869|15986246	TRUE	TRUE	unannotated
trans3cda21d3ffcbdf3b	chr8	transcript	23083600	23103555	+	+	NA	1994	2	TNFRSF10C	ENST00000397703.6	4	1644284;1644306;1644325;1644336	2	4	ENSG00000173535.13	protein_coding	level 2	 TNFRSF10C	ENST00000356864.3;ENST00000397703.6	protein_coding	1;2	ERV1	MER65C	LTR/ERV1|MER65C|8|23100613|23100901	LTR	LTR/ERV1|MER65C|8|23100613|23100901	TRUE	TRUE	partial
trans3e788036fc480dac	chr4	transcript	69051565	69057131	*	NA	NA	2552	1	UGT2B11	ENST00000615638.4	2	980223;980227	0	0	NA	NA	NA	 UGT2B11	NA	NA	NA	ERV1	Harlequin-int~LTR2B	LTR/ERV1|Harlequin-int~LTR2B|4|69050860|69051710;LTR/ERV1|Harlequin-int~LTR2B|4|69053326|69057338	LTR	LTR/ERV1|Harlequin-int~LTR2B|4|69050860|69051710;LTR/ERV1|Harlequin-int~LTR2B|4|69053326|69057338	TRUE	TRUE	unannotated
trans3f58af460280b528	chr14	transcript	19092984	19099804	*	NA	NA	1133	NA	DUXAP9	ENST00000547220.5	2	2592678;2592687	0	1	ENSG00000225210.9	transcribed_processed_pseudogene	level 2	 DUXAP9	ENST00000547220.5	processed_transcript	3	ERV1	PABL_A	LTR/ERV1|PABL_A|14|19092954|19093152	LTR;SINE	LTR/ERV1|PABL_A|14|19092954|19093152;SINE/Alu|AluJo|14|19099731|19100011	TRUE	TRUE	partial
trans3ff7bfe53d00af67	chr19	transcript	28606810	28610345	*	NA	NA	381	1	AC079466.1	ENST00000587961.1	2	3452054;3452060	0	2	ENSG00000266976.1	lincRNA	level 2	 AC079466.1	ENST00000587961.1	lincRNA	2	ERV1	HERVE-int~LTR2	LTR/ERV1|HERVE-int~LTR2|19|28606445|28615273	LTR	LTR/ERV1|HERVE-int~LTR2|19|28606445|28615273	TRUE	TRUE	partial
trans404d20197f26c23d	chr15	transcript	45380548	45404612	*	NA	NA	1920	NA	SPATA5L1	ENST00000305560.10	2	2769360;2769405	0	0	NA	NA	NA	 SPATA5L1	NA	NA	NA	NA	MamRep605b	LTR?|MamRep605b|15|45382068|45382380	LINE;LTR;SINE	LINE/L1|L1ME4b|15|45381843|45382035;LTR?|MamRep605b|15|45382068|45382380;SINE/Alu|AluSz6|15|45382381|45382586;SINE/Alu|AluSx3|15|45404525|45404833	TRUE	TRUE	unannotated
trans4066390df292a289	chr4	transcript	186139586	186140447	*	NA	NA	862	NA	FAM149A	ENST00000356371.9	1	1058772	0	0	NA	NA	NA	 FAM149A	NA	NA	NA	ERVL-MaLR	MLT1A0	LTR/ERVL-MaLR|MLT1A0|4|186139319|186139717	LTR;LINE;SINE	LTR/ERVL-MaLR|MLT1A0|4|186139319|186139717;LINE/L1|L1MC3|4|186139718|186139878;SINE/Alu|AluJb|4|186140300|186140570	TRUE	TRUE	unannotated
trans40abb995a1decac3	chr15	transcript	98324290	98330326	*	NA	NA	251	NA	RP11-167B3.3	ENST00000614728.1	3	2853446;2853453;2853458	0	2	ENSG00000277987.1	lincRNA	level 2	 RP11-167B3.3	ENST00000614728.1	lincRNA	2	ERVL-MaLR	MLT1F1	LTR/ERVL-MaLR|MLT1F1|15|98324094|98324629	LTR;LINE	LTR/ERVL-MaLR|MLT1F1|15|98324094|98324629;LINE/CR1|L3|15|98327012|98327461	TRUE	TRUE	partial
trans40f7b66bb60f5f4b	chr12	transcript	68432563	68434992	-	-	NA	231	NA	RP11-81H14.2	ENST00000441255.6	4	2428064;2428078;2428090;2428103	1	1	ENSG00000251301.6	lincRNA	level 2	 RP11-81H14.2	ENST00000441255.6	lincRNA	4	ERVL-MaLR	MLT1F	LTR/ERVL-MaLR|MLT1F|12|68434964|68435449	SINE;LTR	SINE/MIR|MIRc|12|68433145|68433340;LTR/ERVL-MaLR|MLT1F|12|68434964|68435449	TRUE	TRUE	partial
trans418c01f2845d813e	chrX	transcript	3854678	3860507	*	NA	NA	272	NA	RP11-706O15.3	ENST00000381108.3	2	3824222;3824260	0	1	ENSG00000234449.2	lincRNA	level 2	 RP11-706O15.3	ENST00000381108.3	lincRNA	2	ERV1	MER67D	LTR/ERV1|MER67D|X|3860208|3860654	LTR	LTR/ERV1|MER67D|X|3860208|3860654	TRUE	TRUE	partial
trans418ceb160aba5add	chr17	transcript	76557774	76564688	+	+	NA	1864	NA	NA	NA	4	3258917;3258932;3258946;3258964	2	4	ENSG00000163597.14	processed_transcript	level 1;level 2	NA	ENST00000448136.5;ENST00000586942.5	lincRNA	1;4	ERVL-MaLR	THE1B	LTR/ERVL-MaLR|THE1B|17|76564566|76564680	SINE;LTR	SINE/Alu|AluSc|17|76563776|76564058;SINE/Alu|AluSx1|17|76564130|76564423;SINE/Alu|AluJr4|17|76564442|76564517;LTR/ERVL-MaLR|THE1B|17|76564566|76564680	TRUE	TRUE	partial
trans42897b020a170afa	chrX	transcript	15384804	15499346	-	-	NA	1952	1	BMX	ENST00000357607.6	12	3829306;3829317;3829323;3829344;3829371;3829387;3829393;3829405;3829406;3829420;3829423;3829427	8	10	ENSG00000087842.10	protein_coding	level 2	 BMX	ENST00000380420.9;ENST00000380421.3	protein_coding	1	ERVL-MaLR	THE1B	LTR/ERVL-MaLR|THE1B|X|15499073|15499438	SINE;LTR	SINE/MIR|MIR|X|15493614|15493815;LTR/ERVL-MaLR|THE1B|X|15499073|15499438	TRUE	TRUE	partial
trans429c594884008595	chr7	transcript	116715391	116748237	*	NA	NA	856	1	MET	ENST00000397752.7	2	1565836;1565909	0	0	NA	NA	NA	 MET	NA	NA	NA	ERVL-MaLR	MLT1C2	LTR/ERVL-MaLR|MLT1C2|7|116715171|116715603	LTR;SINE	LTR/ERVL-MaLR|MLT1C2|7|116715171|116715603;SINE/MIR|MIRb|7|116715624|116715791;SINE/Alu|AluJb|7|116715970|116716250;SINE/Alu|AluYk3|7|116747964|116748268	TRUE	TRUE	unannotated
trans42c6cf1574e07bd2	chrX	transcript	154424387	154428539	*	NA	NA	651	NA	CH17-340M24.3	ENST00000360656.2	2	3933737;3933759	0	2	ENSG00000197180.2	lincRNA	level 2	 CH17-340M24.3	ENST00000360656.2	lincRNA	2	ERVL-MaLR	MLT1C	LTR/ERVL-MaLR|MLT1C|X|154424336|154424711	LTR;SINE	LTR/ERVL-MaLR|MLT1C|X|154424336|154424711;SINE/Alu|FLAM_A|X|154428206|154428333	TRUE	TRUE	partial
trans42f13bff389b5b3b	chr20	transcript	15980769	15983803	*	NA	NA	3035	NA	MACROD2	ENST00000217246.8	1	3579859	0	0	NA	NA	NA	 MACROD2	NA	NA	NA	ERV1	Harlequin-int~LTR2B	LTR/ERV1|Harlequin-int~LTR2B|20|15979869|15986246	LTR	LTR/ERV1|Harlequin-int~LTR2B|20|15979869|15986246	TRUE	TRUE	unannotated
trans433aacf149395b15	chr2	transcript	208542559	208859797	*	NA	NA	7298	2	NA	NA	11	642205;642233;642260;642310;642375;642382;642420;642425;642454;642465;642488	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL;ERVL-MaLR;ERVK	MLT2B3;MLT1L;ERVL-E-int;MER11B;THE1C~THE1C-int	LTR/ERVL|MLT2B3|2|208542565|208543130;LTR/ERVL-MaLR|MLT1L|2|208571877|208572231;LTR/ERVL|ERVL-E-int|2|208824102|208824882;LTR/ERVK|MER11B|2|208854292|208855377;LTR/ERVL-MaLR|THE1C~THE1C-int|2|208858865|208861519	LTR;LINE	LTR/ERVL|MLT2B3|2|208542565|208543130;LTR/ERVL-MaLR|MLT1L|2|208571877|208572231;LTR/ERVL|ERVL-E-int|2|208824102|208824882;LINE/L1|L1MEf|2|208825397|208826844;LTR/ERVK|MER11B|2|208854292|208855377;LINE/L1|L1PA15|2|208855378|208858272;LTR/ERVL-MaLR|THE1C~THE1C-int|2|208858865|208861519	TRUE	TRUE	unannotated
trans439b87486cb5eaf5	chr6	transcript	88662282	88670691	*	NA	NA	3127	3	RNGTT	ENST00000369485.8	2	1338551;1338556	0	0	NA	NA	NA	 RNGTT	NA	NA	NA	ERV1	HERVE_a-int~LTR2;LTR2	LTR/ERV1|HERVE_a-int~LTR2|6|88662159|88670500;LTR/ERV1|LTR2|6|88670502|88670950	LTR	LTR/ERV1|HERVE_a-int~LTR2|6|88662159|88670500;LTR/ERV1|LTR2|6|88670502|88670950	TRUE	TRUE	unannotated
trans43a16a54d98ecdfe	chr13	transcript	22895380	22898427	*	NA	NA	3048	NA	BASP1P1	ENST00000430708.1	1	2527105	0	1	ENSG00000230535.1	processed_pseudogene	level 2	 BASP1P1	ENST00000430708.1	processed_pseudogene	NA	ERV1	MER4-int	LTR/ERV1|MER4-int|13|22894628|22896224;LTR/ERV1|MER4-int|13|22896528|22897029;LTR/ERV1|MER4-int|13|22897983|22898234	LTR;SINE	LTR/ERV1|MER4-int|13|22894628|22896224;SINE/Alu|AluSz6|13|22896225|22896519;LTR/ERV1|MER4-int|13|22896528|22897029;LTR/ERV1|MER4-int|13|22897983|22898234;SINE/Alu|AluY|13|22898235|22898527	TRUE	TRUE	partial
trans43d4b3ab820bf44e	chr5	transcript	100581186	100586788	*	NA	NA	827	NA	FAM174A	ENST00000312637.4	2	1141791;1141796	0	1	ENSG00000174132.8	protein_coding	level 1	 FAM174A	ENST00000312637.4	protein_coding	1	Gypsy	MamGypLTR2c	LTR/Gypsy|MamGypLTR2c|5|100581230|100581327	SINE;LTR	SINE/Alu|AluSq|5|100580922|100581229;LTR/Gypsy|MamGypLTR2c|5|100581230|100581327	TRUE	TRUE	partial
trans448ebd802272222c	chr3	transcript	165514703	165517468	*	NA	NA	2766	NA	NA	NA	1	873987	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL-MaLR	MLT1G1	LTR/ERVL-MaLR|MLT1G1|3|165515052|165515441;LTR/ERVL-MaLR|MLT1G1|3|165515735|165515789	SINE;LTR;LINE	SINE/Alu|AluJr|3|165514750|165515044;LTR/ERVL-MaLR|MLT1G1|3|165515052|165515441;SINE/Alu|AluJr|3|165515446|165515734;LTR/ERVL-MaLR|MLT1G1|3|165515735|165515789;LINE/L1|L1P1|3|165516201|165516582;LINE/L1|L1PA5|3|165516583|165517218;LINE/L2|L2a|3|165517228|165517330	TRUE	TRUE	unannotated
trans44b1b530ad7168d5	chr21	transcript	34782124	34782818	*	NA	NA	305	NA	LINC01426	ENST00000420877.1	2	3693759;3693767	0	2	ENSG00000234380.1	antisense	level 2	 LINC01426	ENST00000420877.1	antisense	2	ERVL-MaLR	THE1B	LTR/ERVL-MaLR|THE1B|21|34781911|34782274	LTR;SINE	LTR/ERVL-MaLR|THE1B|21|34781911|34782274;SINE/MIR|MIR|21|34782467|34782666	TRUE	TRUE	partial
trans44f172a78b9f82c1	chr15	transcript	25639437	25641656	*	NA	NA	2166	1	NA	NA	2	2726546;2726550	0	0	NA	NA	NA	NA	NA	NA	NA	ERVK	HERVK9-int~MER9B	LTR/ERVK|HERVK9-int~MER9B|15|25636096|25640795	LTR	LTR/ERVK|HERVK9-int~MER9B|15|25636096|25640795	TRUE	TRUE	unannotated
trans44fe1e779ea41168	chr12	transcript	120957722	120970895	*	NA	NA	218	NA	HNF1A-AS1	ENST00000433033.2	4	2490247;2490270;2490273;2490311	0	0	NA	NA	NA	 HNF1A-AS1	NA	NA	NA	ERVL-MaLR	MLT1A0	LTR/ERVL-MaLR|MLT1A0|12|120963375|120963604	SINE;LTR	SINE/Alu|AluSx|12|120957853|120958156;LTR/ERVL-MaLR|MLT1A0|12|120963375|120963604;SINE/Alu|AluSx|12|120963841|120964141;SINE/Alu|AluSx1|12|120970811|120971110	TRUE	TRUE	unannotated
trans455b7de858e559f1	chr5	transcript	138550888	138555070	*	NA	NA	1563	NA	HSPA9	ENST00000297185.7	2	1167594;1167606	0	1	ENSG00000113013.12	protein_coding	level 2	 HSPA9	ENST00000297185.7	protein_coding	1	ERVL;ERVL-MaLR	MLT2B1;MLT1L	LTR/ERVL|MLT2B1|5|138553767|138554104;LTR/ERVL-MaLR|MLT1L|5|138554667|138555010	SINE;LTR	SINE/Alu|AluSx|5|138550743|138551007;SINE/Alu|AluSx3|5|138553451|138553628;LTR/ERVL|MLT2B1|5|138553767|138554104;LTR/ERVL-MaLR|MLT1L|5|138554667|138555010	TRUE	TRUE	partial
trans4569d8bc812d5598	chr2	transcript	227805946	227817535	+	+	NA	857	NA	CCL20	ENST00000409189.7	5	667089;667114;667126;667143;667149	2	4	ENSG00000115009.11	protein_coding	level 2	 CCL20	ENST00000358813.4;ENST00000409189.7	protein_coding	1	ERV1	LTR2C	LTR/ERV1|LTR2C|2|227805691|227806180	LTR	LTR/ERV1|LTR2C|2|227805691|227806180	TRUE	TRUE	partial
trans456b7767c247a13c	chr6	transcript	27138370	27146037	*	NA	NA	445	NA	HIST1H4I	ENST00000615353.1	3	1250540;1250563;1250566	0	1	ENSG00000276180.1	protein_coding	level 2	 HIST1H4I	ENST00000615353.1	protein_coding	NA	ERV1	LTR48B	LTR/ERV1|LTR48B|6|27138224|27138814	LTR	LTR/ERV1|LTR48B|6|27138224|27138814	TRUE	TRUE	partial
trans46245bbcb81da8ca	chr6	transcript	43998971	44001119	-	-	NA	740	NA	C6orf223	ENST00000336600.5	3	1308378;1308416;1308437	1	3	ENSG00000237686.6	antisense	level 2	 C6orf223	ENST00000422059.5	antisense	2	ERV1	LTR12E;LTR12D	LTR/ERV1|LTR12E|6|43997917|43999158;LTR/ERV1|LTR12D|6|43999159|43999279	LTR;SINE	LTR/ERV1|LTR12E|6|43997917|43999158;LTR/ERV1|LTR12D|6|43999159|43999279;SINE/Alu|AluJo|6|43999281|43999536	TRUE	TRUE	partial
trans47e5ddcd89fac06e	chr2	transcript	227805946	227817535	+	+	NA	854	NA	CCL20	ENST00000409189.7	5	667090;667108;667128;667135;667147	2	4	ENSG00000115009.11	protein_coding	level 2	 CCL20	ENST00000409189.7	protein_coding	1	ERV1	LTR2C	LTR/ERV1|LTR2C|2|227805691|227806180	LTR	LTR/ERV1|LTR2C|2|227805691|227806180	TRUE	TRUE	partial
trans486a112431a2a501	chr2	transcript	70829178	70835846	-	-	NA	2929	2	CD207	ENST00000410009.4	6	485369;485372;485382;485384;485391;485398	4	6	ENSG00000116031.8	protein_coding	level 2	 CD207	ENST00000410009.4	protein_coding	1	ERVL-MaLR;ERVL	MLT1M;LTR53B	LTR/ERVL-MaLR|MLT1M|2|70828965|70829197;LTR/ERVL|LTR53B|2|70829198|70829694	LTR	LTR/ERVL-MaLR|MLT1M|2|70828965|70829197;LTR/ERVL|LTR53B|2|70829198|70829694	TRUE	TRUE	partial
trans4924c993b24bb302	chr15	transcript	99486599	99487758	*	NA	NA	1160	NA	NA	NA	1	2854629	0	0	NA	NA	NA	NA	NA	NA	NA	Gypsy	MamGypLTR4	LTR/Gypsy|MamGypLTR4|15|99486862|99487159	LTR;LINE;SINE	LTR/Gypsy|MamGypLTR4|15|99486862|99487159;LINE/L1|L1MB3|15|99487377|99487594;SINE/Alu|FAM|15|99487596|99487782	TRUE	TRUE	unannotated
trans49d3237fe289458f	chr7	transcript	64982053	64993415	*	NA	NA	3533	2	ZNF117	ENST00000282869.10	2	1481479;1481494	0	2	ENSG00000152926.14	protein_coding	level 2;level 3	 ZNF117	ENST00000282869.10;ENST00000620222.4	protein_coding	1	ERV1	HERV3-int~LTR4	LTR/ERV1|HERV3-int~LTR4|7|64990324|64999936	SINE;LINE;LTR	SINE/Alu|AluSc|7|64989793|64990093;LINE/L1|L1PA14|7|64990098|64990323;LTR/ERV1|HERV3-int~LTR4|7|64990324|64999936	TRUE	TRUE	partial
trans49fe859d38af18e5	chr2	transcript	87439522	87445732	*	NA	NA	445	NA	AC133644.2	ENST00000625410.1	2	506970;506975	0	1	ENSG00000280721.1	lincRNA	level 2	 AC133644.2	ENST00000625410.1	lincRNA	2	ERVL-MaLR	MLT1J~MLT1J-int	LTR/ERVL-MaLR|MLT1J~MLT1J-int|2|87439465|87440304	LTR;LINE	LTR/ERVL-MaLR|MLT1J~MLT1J-int|2|87439465|87440304;LINE/L2|L2a|2|87445471|87446010	TRUE	TRUE	partial
trans4a8a9a683b24e27f	chr3	transcript	114056672	114087433	+	+	NA	3099	1	QTRTD1	ENST00000281273.8	10	821051;821061;821079;821090;821099;821123;821136;821160;821177;821204	8	10	ENSG00000151576.10	protein_coding	level 2	 QTRTD1	ENST00000281273.8;ENST00000479882.5;ENST00000485050.5	protein_coding	1;2	ERVL-MaLR	MSTA	LTR/ERVL-MaLR|MSTA|3|114087315|114087372	LTR;SINE	LTR/ERVL-MaLR|MSTA|3|114087315|114087372;SINE/Alu|AluYm1|3|114087379|114087625	TRUE	TRUE	partial
trans4accb4ed6375321a	chr2	transcript	111203355	111204852	*	NA	NA	1498	NA	AC108463.2	ENST00000450258.1	1	544951	0	1	ENSG00000227992.1	processed_pseudogene	level 1	 AC108463.2	ENST00000450258.1	processed_pseudogene	NA	ERVL	MLT2D	LTR/ERVL|MLT2D|2|111204296|111204656	SINE;LTR	SINE/Alu|AluSx1|2|111203335|111203633;LTR/ERVL|MLT2D|2|111204296|111204656	TRUE	TRUE	partial
trans4b0b402ca2300c70	chr6	transcript	2251299	2257141	*	NA	NA	198	NA	GMDS-AS1	ENST00000534441.5	2	1225698;1225706	0	0	NA	NA	NA	 GMDS-AS1	NA	NA	NA	ERVL-MaLR	MLT1L	LTR/ERVL-MaLR|MLT1L|6|2257113|2257410	SINE;LTR	SINE/Alu|AluJo|6|2251087|2251362;SINE/Alu|AluSp|6|2256724|2257033;LTR/ERVL-MaLR|MLT1L|6|2257113|2257410	TRUE	TRUE	unannotated
trans4bb9fd377e12cfda	chr5	transcript	123859693	123865855	*	NA	NA	345	NA	NA	NA	2	1151722;1151725	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL-MaLR	MLT1A	LTR/ERVL-MaLR|MLT1A|5|123859653|123860004	LTR	LTR/ERVL-MaLR|MLT1A|5|123859653|123860004	TRUE	TRUE	unannotated
